date,equity,cash,position_value,open_positions,gross_exposure
2025-10-14,136204.87603409696,3064.4199111529706,133140.456122944,5,0.9775013934861932
2025-10-15,137911.4001515361,5502.331098512266,132409.06905302382,5,0.9601024201591286
2025-10-16,138062.50391972368,5502.331098512266,132560.1728212114,5,0.960146086429726
2025-10-19,138772.9549971036,5502.331098512266,133270.62389859135,5,0.9603501193829367
2025-10-20,140215.29593172873,5502.331098512266,134712.96483321645,5,0.9607579824872218
2025-10-21,143608.15481648876,32407.08507810871,111201.06973838004,4,0.7743367351281655
2025-10-22,143084.10845205543,58343.510127938585,84740.59832411684,3,0.5922432563677167
2025-10-23,143298.95742908164,58343.510127938585,84955.44730114305,3,0.5928546084725518
2025-10-26,144755.9249710524,29377.842299814045,115378.08267123834,4,0.7970525744926235
2025-10-27,144187.82950377392,525.8504031109114,143661.979100663,5,0.9963530181089442
2025-10-28,142179.64161742592,525.8504031109114,141653.79121431502,5,0.9963015070432808
2025-10-29,144442.4344853682,58703.5607345905,85738.8737507777,3,0.5935850780711046
2025-10-30,143879.02382054992,58703.5607345905,85175.46308595942,3,0.59199361257964
2025-11-02,146914.4660598761,118143.21534107567,28771.25071880044,1,0.19583674426638487
2025-11-03,146996.45119062,88729.21810433331,58267.23308628667,2,0.39638530464063865
2025-11-04,148095.41846466652,88729.21810433331,59366.200360333205,2,0.4008645302859058
2025-11-05,149149.30232925096,116652.88222939483,32496.420099856117,1,0.21787845864755992
2025-11-06,149432.04664800118,149432.04664800118,0.0,0,0.0
2025-11-09,149432.04664800118,149432.04664800118,0.0,0,0.0
2025-11-10,149432.04664800118,149432.04664800118,0.0,0,0.0
2025-11-11,149432.04664800118,149432.04664800118,0.0,0,0.0
2025-11-12,149432.04664800118,149432.04664800118,0.0,0,0.0
2025-11-13,149432.04664800118,149432.04664800118,0.0,0,0.0
2025-11-16,149432.04664800118,149432.04664800118,0.0,0,0.0
2025-11-17,149357.33062467718,119545.63731840094,29811.693306276236,1,0.19959979989994997
2025-11-18,149282.4269444441,119545.63731840094,29736.789626043166,1,0.19919819254485863
2025-11-19,149095.16685093913,119545.63731840094,29549.529532538185,1,0.19819240393004098
2025-11-20,152091.3158461066,119545.63731840094,32545.67852770566,1,0.21398775036332096
2025-11-23,152851.26108017276,152851.26108017276,0.0,0,0.0
2025-11-24,152774.83544963266,122281.0088641382,30493.826585494466,1,0.19959979989995
2025-11-25,152469.89747458952,122281.0088641382,30188.888610451315,1,0.19799900905345963
